estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,20.0,1,2.339638595890493,2.339638595890493,1.5782929646582775,3.4462015982764624,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,20.0,1,1.793597322533049,1.793597322533049,0.7958880490638577,3.06914283913539,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,20.0,1,2.2854278430757913,2.2854278430757913,2.8618658009800377,3.817758031388742,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,20.0,1,1.803755507092119,1.803755507092119,1.455963206592182,3.1591351640786987,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,30.0,1,43.31109709073649,43.31109709073649,43.622092789841304,42.16751470203935,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,30.0,1,1.8634719960834063,1.8634719960834063,1.8648315811195495,3.2753544667187926,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,30.0,1,2.415519316158711,2.415519316158711,3.224792273594864,3.4540777412218486,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,30.0,1,1.803429095930699,1.803429095930699,1.5058340914635169,3.156128869721024,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,30.0,1,2.335247730502415,2.335247730502415,2.9028464999129033,3.666476138437127,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,30.0,1,1.7986241306198256,1.7986241306198256,0.8186002363338385,3.063616174537666,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,60.0,1,49.8619078593052,49.8619078593052,31.19894277400452,32.25167837629638,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,60.0,1,1.7974254675006534,1.7974254675006534,1.5262450843008015,3.1452882557463746,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,60.0,1,2.0454803511454767,2.0454803511454767,4.44713219336618,6.207440529403967,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,60.0,1,1.8387574057461944,1.8387574057461944,1.9927397264521751,3.116342511120147,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,60.0,1,1.8710682039019213,1.8710682039019213,3.786641182696305,4.8072909199989775,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,60.0,1,1.7973675135469087,1.7973675135469087,1.524577736018884,3.137669936820628,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,120.0,1,101.98705587048404,101.98705587048404,43.77145425458408,3.1255129626730652e+16,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,120.0,1,1.780035543768224,1.780035543768224,0.6595428744563672,3.1687506700431025,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,120.0,1,1.5983223073520985,1.5983223073520985,2.771547540216416,9.418543202916442e+16,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,120.0,1,1.7175411013009854,1.7175411013009854,2.1274650556525345,3.0785755838421087,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,120.0,1,2.236869651308605,2.236869651308605,3.6295759701381334,143038958291683.38,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,120.0,1,1.7960461587609309,1.7960461587609309,1.5387676740922864,3.138731130567284,True
